plug,50.650303381188834,93
blind_flange,51.685698089551735,1058
flange,72.09037159532123,4108
cap,72.14408823805373,151
restriction_orifice,75.3825786303297,496
eccentric_reducer,83.5878143695034,165
hose_connection,83.76378655138292,17
screwed_cap,87.35040568188396,30
cone_strainer,93.51553637657116,4
concentric_reducer,96.32608699675744,2579
3_way_valve,96.40314650585039,43
chemical_seal_diaphragm,108.28640343175276,322
diverter_valve,114.29542958517358,2
function_average,114.55129855222069,5
function_time,114.5512985522207,1
function_summation,114.5512985522207,1
function_special,114.5512985522207,1
function_derivative,114.65768992221822,20
function_high_signal_selector,114.6695111855513,6
function_low_signal_selector,114.71497758298614,13
function_unspecified,114.78724181470476,18
function_multiply,114.80163118750902,17
function_subtract,114.83500887221412,5
dual_plate_wafer_check_valve,119.27420123763716,8
restriction_orifice_multistage,120.9297316626478,1
t_type_strainer,120.93697525864386,107
angle_blowdown_valve,121.13697602595707,14
3_way_ball_valve,121.21056059601408,1
safety_head_for_pressure_relief,123.06502346320826,1
blank,123.98953279166847,7
spacer,124.02158065754291,342
butterfly_valve,124.1612524200816,176
rotating_disc_butterfly_valve,125.31235845354135,71
globe_valve,125.80589115998515,934
plug_valve,125.82791148352622,21
ball_valve,126.01686884414762,857
ball_valve_with_flange,126.4000873576703,180
damper,126.60703958502535,2
slide_valve,126.62543188475212,1
check_valve,126.73997435637986,1106
expansion_joint,127.33630153735699,12
orifice_valve,127.37095246929721,6
gate_valve,127.630346821489,5974
flexible_hose,129.4493155032381,8
gate_valve_with_flange,130.6483436816128,966
globe_valve_with_flange,133.15404612703287,1
ball_valve_with_plug,134.34785596308154,205
globe_valve_with_plug,134.35162299415978,9
filter,135.7645019878171,3
needle_valve,135.96699046436706,56
steam_trap,136.06807114277083,14
integral_orifice,136.25110635644506,4
flame_arrestor,136.4734406395618,4
closed_figure_8_blind,138.4203497305021,469
open_figure_8_blind,138.46644528324646,601
break_away_coupling,139.24396756224192,14
removable_spool_elbow,140.71602609511115,1
gate_valve_with_plug,140.91660626294157,1343
ultrasonic_type_meter,146.7548977036201,1
vortex,146.8845701708857,125
y_type_strainer,147.4800085104588,185
thermal_mass_flowmeter,147.5127113166862,1
coriolis_flowmeter,149.5262174101508,6
venturi,150.08367067095136,17
globe_valve_handwheel,152.11837495845134,1
removable_spool_left,156.75357545150086,4
removable_spool_right,157.07179948375176,3
removable_spool,157.26143218365215,127
duplex_strainer,158.40454538932903,1
swing_elbow,163.23243411295076,46
diaphragm,163.73405514104206,35
manway,164.38610792177963,29
basket_strainer,169.49693134766713,3
sampler,183.45426261418248,5
atmospheric_vent_with_bird_screen,188.8924232503581,2
utility_conenction,190.41937706661045,2022
double_gate_valve_with_plug,193.0350459826671,11
pressure_relief_or_safety_valve,193.2318490548628,251
vent_cover,195.67415346623065,4
motor_operated,203.17762272706887,6
back_pressure_regulator,210.31771823556875,16
pressure_reducing_regulator,210.4745544818266,99
open_drain_connectors,210.6156930632939,454
discrete_hardware_interlock_field_mounted,220.70210458803027,142
shared_display_and_control_primary_location_normally_accessible_to_an_operator,220.82384053977955,2304
plc_primary_location_normally_accessible_to_an_operator,220.86908289349861,45
plc_field_mounted,220.90054075551816,65
shared_display_and_control_primary_location_normally_inaccessible_to_an_operator,228.2057685787452,30
plc_primary_location_normally_inaccessible_to_an_operator,228.3057308970107,441
vent_silencer_equipment,243.55997964682123,10
closed_drain_connectors,249.09478751969382,149
ejector_eductor,254.19299689977913,4
pulsation_dampener,254.66954995226877,4
injection_quill,256.9305615552224,19
pump_positive_diaplacement,259.15511698434426,2
pump_gear_type,263.0437226013957,2
general_sight_glass,263.2923448498749,37
liquid_filter_general,275.77164466275354,1
discrete_instruments_field_mounted,276.248884382833,4348
sample_connection,276.3613524273132,78
filter_oil_vendor,276.4787514439401,2
electric_motor_general,277.59362656907587,62
discrete_instruments_auxiliary_location_normally_accessible_to_an_operator,278.28296246757594,49
pilot_light_or_gauge_glass_illuminator,278.7593722041159,40
discrete_instruments_primary_location_normally_accessible_to_an_operator,279.45602570569616,81
variable_area_flowmeter,303.79242664103936,130
pump_centrifugal_type,341.108173961543,91
vendor_heater,341.2696880767467,1
heat_exchanger_of_spiral_type,342.5935999725264,2
instrument_box,348.8590110179435,13
in_line_static_mixer,349.6927222576987,2
turbine_general,377.6338831244907,4
end_gap_line,385.45829924772227,2
extend_steam_valve,409.5320330805148,4
interface_connecting_point,424.9430497763563,5
compressor_centrifugal_type,434.3886461923638,5
gas_filter_bag_candle_or_cartridge_type,461.0776808477104,13
vendor_strainer,465.8594208556912,1
gate_valve_equipment,474.6587505768175,6
tank_vessel_with_dished_ends,507.29281485154127,18
compressor_vacuum_pump_reciprocating_piston_type,516.7353610953423,17
gas_cylinder,523.8291706272189,1
off_plot_connector_two_way,552.9529817262948,1
off_plot_connector,552.9714817746724,26
off_page_connector,553.0394623389653,1302
off_page_connector_two_way,553.0647085579276,21
expansion_joint_equipment,569.8566673987808,3
shell_type_h,582.9611829824781,9
shell_type_e,591.4869027374322,52
shell_type_j,591.5520483956913,5
shell_type_x,591.6282616643664,1
compressor_reciprocating_type_5,599.718516624492,2
cooler_catalyst_type1,640.5923210296033,2
end_gap,723.0742611044283,216
stack_chimney,854.6373499912112,1
heat_exchanger_vendor,930.0901782358255,4
heat_exchanger_of_double_pipe_type,942.3226623614652,3
shell_type_k,952.873407767965,12
seperator_third_stage,956.0067991390019,1
blowdown_pot,976.3292387629325,6
fines_hopper_catalyst,1008.3774095049928,1
heat_exchanger_packinox,1108.1841002288384,1
